osm_id,nom,type,operateur,ville,region_osm,longitude,latitude,categorie
7150582506,OSM_7150582506,clinic,NA,NA,NA,11.45974,3.88614,Centre/Clinique
7150583060,OSM_7150583060,clinic,NA,NA,NA,11.45158,3.88156,Centre/Clinique
7150585616,OSM_7150585616,clinic,NA,NA,NA,11.43309,3.87474,Centre/Clinique
7150586600,OSM_7150586600,clinic,NA,NA,NA,11.45455,3.88579,Centre/Clinique
7150590215,La Référence,clinic,NA,NA,NA,11.43592,3.87889,Centre/Clinique
7150592029,OSM_7150592029,clinic,NA,NA,NA,11.41997,3.87969,Centre/Clinique
7150592034,Florence Nightingale,clinic,NA,NA,NA,11.45145,3.88392,Centre/Clinique
7150593423,OSM_7150593423,clinic,NA,NA,NA,11.45757,3.89352,Centre/Clinique
7150594299,OSM_7150594299,clinic,NA,NA,NA,11.45298,3.89897,Centre/Clinique
7150594676,La Relève,clinic,NA,NA,NA,11.45092,3.89753,Centre/Clinique
7150594908,OSM_7150594908,clinic,NA,NA,NA,11.45331,3.89694,Centre/Clinique
7150595171,OSM_7150595171,clinic,NA,NA,NA,11.45663,3.89074,Centre/Clinique
7150595172,OSM_7150595172,clinic,NA,NA,NA,11.45007,3.89191,Centre/Clinique
7150596987,OSM_7150596987,clinic,NA,NA,NA,11.46076,3.88968,Centre/Clinique
7153477358,Centre De Soins Spécialisés Ste Germaine,clinic,NA,NA,NA,11.47227,3.87894,Centre/Clinique
7153477359,La Providence,clinic,NA,NA,NA,11.47031,3.87803,Centre/Clinique
7153477360,Centre De Naturopathe,clinic,NA,NA,NA,11.46499,3.87393,Centre/Clinique
