r,obs,theo,lo,hi,fonction,nsim
4583.333333333334,4032618783.8415527,65995262.341035604,34742053.96885615,111440894.77432247,K,39
5000,4607311403.47222,78539816.33974482,40677126.66097566,126268952.90075555,K,39
5416.666666666667,5157113402.890146,92175201.12095053,58348834.22974559,133414587.37826256,K,39
5833.333333333334,5323438334.003279,106901416.6846527,72230706.08881846,152173684.08978498,K,39
6250,5781861441.344789,122718463.03085129,77390042.23801978,188958315.44604737,K,39
6666.666666666667,6263205704.053373,139626340.15954638,82549378.3872211,218951698.85018188,K,39
7083.333333333334,6000758475.100359,157625048.0707379,89217218.22623804,232158209.5532589,K,39
7500,6431168038.311637,176714586.76442587,121903719.13820088,263689198.0961383,K,39
7916.666666666667,6817692238.4875555,196894956.24061033,132833654.58764587,270462762.8548023,K,39
8333.333333333334,6842736262.108421,218166156.4992912,138147000.77115172,286351127.45043296,K,39
8750,6814043608.172663,240528187.54046854,160197387.43270093,316760096.7372046,K,39
9166.666666666668,7151639236.562622,263981049.36414242,198071957.72798446,340391015.02194905,K,39
9583.333333333334,7430473499.856195,288524741.97031265,214131846.19241562,375590204.9900226,K,39
10000,7399315948.5189085,314159265.3589793,232522790.19767565,419593969.46445936,K,39
10416.666666666668,7640546994.9246435,340884619.53014255,247293676.95293954,448844358.0812922,K,39
10833.333333333334,7889830746.798204,368700804.48380214,274468806.2884274,490404020.86659706,K,39
11250,7708885126.903774,397607820.2199582,282056938.55672127,518110462.72346693,K,39
11666.666666666668,7892731893.910526,427605666.7386108,312179524.22782743,538908207.5653803,K,39
12083.333333333334,8085006955.99632,458694344.03975976,332015310.7413491,568731073.542703,K,39
12500,8036730100.580839,490873852.12340516,368939437.72379607,615323201.3844608,K,39
12916.666666666668,8213608914.319113,524144190.9895472,420582216.22295326,625841546.7072722,K,39
13333.333333333334,8409783598.647017,558505360.6381855,451299726.6258067,672233543.3325683,K,39
13750,8531990779.048006,593957361.0693202,495949695.4820645,719508947.6384403,K,39
14166.666666666668,8698486037.791567,630500192.2829516,528340589.9455922,756466865.5837847,K,39
14583.333333333334,8831133525.747826,668133854.2790793,553873945.9109341,802197356.8658798,K,39
15000,9061019231.047024,706858347.0577035,576160179.7939756,849007562.1404904,K,39
15416.666666666668,9179206438.408508,746673670.6188241,612259341.6968929,881183916.778265,K,39
15833.333333333334,9282340946.722954,787579824.9624413,645176510.605328,948713767.5513861,K,39
16250,9423930397.134125,829576810.0885547,717073633.5200639,989340769.6405205,K,39
16666.666666666668,9557830126.66236,872664625.9971648,748857149.3662591,1027447350.4360738,K,39
17083.333333333336,9707109297.956465,916843272.6882714,792442471.58251,1077212334.0193386,K,39
17500,9857101355.429045,962112750.1618742,827397417.8345463,1126445584.4328082,K,39
17916.666666666668,9951266772.676405,1008473058.4179736,854926731.4343373,1187407400.0962567,K,39
18333.333333333336,10072336594.851583,1055924197.4565697,896227539.7161893,1252003944.7970705,K,39
18750,10229799798.615658,1104466167.2776616,978829156.2798934,1301906077.3821769,K,39
19166.666666666668,10318046246.778898,1154098967.8812506,1044315378.8318269,1341187726.268708,K,39
19583.333333333336,10389322224.141516,1204822599.267336,1077400418.7125802,1412314060.5621006,K,39
20000,10497933237.265505,1256637061.4359171,1107734467.705996,1470324622.0744493,K,39
20416.666666666668,10643879286.150864,1309542354.3869956,1163241732.013329,1535735582.050682,K,39
20833.333333333336,10857172962.676474,1363538478.1205702,1200856584.1431048,1606834451.5900655,K,39
21250,10894623230.029701,1418625432.636641,1264183388.498733,1639729786.8701398,K,39
21666.666666666668,10949096346.17985,1474803217.9352086,1311568509.8437562,1697459213.410621,K,39
22083.333333333336,11085447783.973642,1532071834.0162728,1363706381.926859,1748125875.4087698,K,39
22500,11240425698.674452,1590431280.8798327,1407651599.6305377,1795368227.4139466,K,39
22916.666666666668,11364135672.73507,1649881558.5258899,1457319538.2549045,1863894165.0105207,K,39
23333.333333333336,11546264245.657646,1710422666.9544432,1492183642.040907,1942044863.7531002,K,39
