admin2Pcod,adm2_name,n_menages,n_grappes,insecure_direct,rmse_direct,insecure_fh,rmse_fh,gain_rmse,gain_pct,deplacement,lc_13_urbain_adm2,lc_8_savane_boisee_adm2,statut
BJ0301,Abomey-calavi,745,63,69.90554472367361,2.7895276165208873,70.45249617848863,2.7258905784682286,0.06363703805265875,2.281283672395657,0.5469514548150158,0.4547231800430272,0.0580915687478529,Estimee (direct + Fay-Herriot)
BJ0305,So-ava,70,6,95.20400109468291,2.9850208325676144,93.99159577860634,2.9073976004252184,0.07762323214239597,2.600425139265346,-1.2124053160765698,0.1966214403201449,0.0204872546335961,Estimee (direct + Fay-Herriot)
BJ0307,Tori-bossito,36,3,95.68023404211576,2.5503169069750418,95.72308538460291,2.5055297477201965,0.04478715925484522,1.756140938106698,0.04285134248715394,0.9594352802617816,0.0010194961175353,Estimee (direct + Fay-Herriot)
BJ0403,Ndali,59,5,53.41458257162358,7.0593186099046665,55.388560496571216,6.203692684927967,0.8556259249766995,12.120517181023715,1.9739779249476328,0.0057817205553916,0.6717797479248506,Estimee (direct + Fay-Herriot)
BJ0502,Dassa,156,13,62.604962518466024,4.517472362172549,62.96575032491213,4.260635825681968,0.2568365364905816,5.685403604042491,0.36078780644610475,9.69709560282e-4,0.2311926801501189,Estimee (direct + Fay-Herriot)
BJ0602,Djakotome,156,13,93.17988849527956,2.632832848854417,92.47450673455005,2.57888631059987,0.05394653825454698,2.048992144640701,-0.7053817607295088,0.3311162199718384,0.0618512709137709,Estimee (direct + Fay-Herriot)
BJ0603,Dogbo-tota,96,8,89.61371763659001,5.051420529854771,89.5701000610134,4.7079347653168995,0.3434857645378715,6.799785575321062,-0.043617575576604395,0.7161276362493338,0.0100056528196025,Estimee (direct + Fay-Herriot)
BJ0703,Kopargo,95,8,70.12832812549587,3.993618713903003,69.9151268608459,3.815978816898379,0.17763989700462401,4.448093564520955,-0.21320126464996747,0,0,Estimee (direct + Fay-Herriot)
BJ0904,Grand-popo,96,8,85.73579832169298,4.586947160365059,84.06607904121326,4.316008169383437,0.2709389909816222,5.906738872484834,-1.6697192804797254,0.2361432930759222,0.2804679804579547,Estimee (direct + Fay-Herriot)
BJ0101,Adjara,250,21,70.76982663019686,4.872033337570771,70.42618870944627,4.557916618744634,0.31411671882613756,6.447343379279056,-0.34363792075059507,0.0124653594946315,0.0029185283762044,Estimee (direct + Fay-Herriot)
BJ1004,Akpro-misserete,213,18,90.74799641432504,2.0534622577457236,90.35713816555133,2.027681461630358,0.025780796115365767,1.255479423501445,-0.39085824877371067,0.3847133712937472,0.2970613120136022,Estimee (direct + Fay-Herriot)
BJ1008,Porto-novo,285,24,87.69909434968892,2.360980672880988,87.12151121064981,2.322035355190761,0.03894531769022702,1.6495398771182646,-0.5775831390391062,0.1449789572129997,0.066046069769474,Estimee (direct + Fay-Herriot)
BJ1009,Seme-kpodji,488,41,68.71537989680832,3.1648812691036885,69.02801372891597,3.0725199133263725,0.09236135577731597,2.9183197701275283,0.3126338321076503,0.2082935543249053,0.0460430892966435,Estimee (direct + Fay-Herriot)
BJ1101,Adja-ouere,144,12,72.94824334479738,3.626545341656352,73.74041508598042,3.491574561260038,0.13497078039631383,3.7217452887179023,0.79217174118304,0.5790969459728782,0.2520211038244638,Estimee (direct + Fay-Herriot)
BJ1207,Za-kpota,84,7,87.97902165372325,2.2889665808943342,87.37929986127271,2.2538032357519757,0.035163345142358526,1.5362105080896231,-0.5997217924505378,0.0801879159761443,0.0086184232146965,Estimee (direct + Fay-Herriot)
BJ1208,Zangnanado,36,3,54.24085102924607,10.440655598689338,58.7327727491138,8.065094312940408,2.3755612857489297,22.752989630719593,4.491921719867726,0.0541694925828776,0.4602018458286672,Estimee (direct + Fay-Herriot)
