DHSCLUST,Aridity_2015,Rainfall_2015,Malaria_Prevalence_2015,Enhanced_Vegetation_Index_2015,Nightlights_Composite,Travel_Times_2015,Proximity_to_Water,All_Population_Count_2015,Slope,Drought_Episodes,Growing_Season_Length
295,40.57988357543945,1388.5,0.34051033428737093,4662.083333333333,0.00273852555086296,59.994594594594595,37456.206349206346,27248.14453125,1.7134909140097128,-9999,3
296,42.5,1797,0.04865598306059837,3417,0.6986383806195176,0.25,176620.73076923078,16128.58203125,1.36797297000885,2,4
297,58.0782585144043,2023.9,0.19344472885131836,3903.444444444444,0.00531152946043434,92.81182795698923,19860.48717948718,42710.5390625,0.3232084089709866,2,4
298,37.5639533996582,1324.8333333333333,0.3636859059333801,4489.9,0,97.74393530997304,244493.18849840257,6388.1328125,0.23701240560115183,1,6
299,35.7159423828125,1181,0.16009853780269623,3088,15.637194233555949,0,62026.59615384616,128989.15625,0.7547441891261509,-9999,-807
300,58.0782585144043,2378,0.08609534800052643,2147,8.257329305013021,0,5093.202769886364,85412.84375,0,2,-807
301,38.24444580078125,1373,0.3301713466644287,4598,0.2915101369222005,73.06666666666666,35893.39182692308,1897.79638671875,0.7805672963460286,-9999,4
302,19.085657119750977,1080.1666666666667,0.3946968078613281,3186.8333333333335,0,173.60270270270271,165038.3596214511,3641.080810546875,1.299936325485642,2,1
303,47.402366638183594,1662.1,0.08659664789835612,3767.555555555556,0.04202928214237608,20.06417112299465,143699.46325878595,68773.484375,2.424477317116477,2,4
304,35.7159423828125,1181,0.1604199260473251,2429,15.89643314906529,0,63766.77272727273,278707.3125,0.5814951658248901,-9999,-807
305,55.764705657958984,2091.6666666666665,0.0921483039855957,4569.75,0.15429969534489782,34.240437158469945,102060.24050632912,192172.625,4.351728595671107,2,3
306,55.764705657958984,2121,0.14598646759986875,4473,0.3122439043862479,33.75,50966.90384615384,191.95660400390625,1.1135133504867554,2,4
307,37.71084213256836,1259.6,0.37397193908691406,4707.8,0.00699623144290102,357.92622950819674,298324.25641025644,1822.5159912109375,0.23627576150529372,-9999,-809
308,59.2621955871582,2395,0.08812224864959717,3840,2.8781932248907576,0,53264.170454545456,142479.625,1.30108220236642,2,-807
309,47.402366638183594,1698,0.04152347892522812,3630,1.0212432225545247,0.2,151546.78846153847,99788.8359375,1.6432718912760416,2,-807
311,35.7159423828125,1181,0.14466910064220428,3088,27.52759209994612,0,59562.28846153846,190895.453125,0.6935550570487976,-9999,-807
312,37.324806213378906,1591,0.2535988688468933,3135,0.3940751350532144,146.4,93785.57954545454,673.72607421875,1.088890838623047,2,5
313,37.652305603027344,1385.6666666666667,0.41283639272054035,4478.555555555556,0.01200337772784025,97.13709677419357,131687.20257234728,4242.466796875,0.3188123395366053,-9999,6
314,58.0782585144043,2643,0.0799097865819931,1466,9.96373087565104,0,4187.383928571428,107974.1640625,0,2,-807
315,15.152363777160645,832.3,0.2213625609874725,2722.1666666666665,0.00303541038917423,70.3529411764706,42708.671974522294,6936.99853515625,0.7984296013327206,2,4
316,19.15116310119629,842.8,0.32451102137565613,3008.8,0.0021231761714756,75.85106382978724,107842.58146964856,7706.0341796875,0.8531458428565492,2,4
317,24.348657608032227,1324.6,0.3463129043579102,3146.6666666666665,0,144.6829268292683,173210.58974358975,1928.010498046875,0.9652701690591124,2,5
318,14.841529846191406,918.6,0.33324400583902997,2834.7,0.00345562094001359,103.75338753387534,149239.1794871795,9547.5771484375,1.6280224807863313,2,5
319,58.0782585144043,2524,0.07472863793373108,1466,14.975995597192796,0,2143.02734375,236365.03125,0,2,-807
320,58.0782585144043,2643,0.0799097865819931,1466,15.72967634529903,0,3326.4659598214284,266727.1875,0,2,-807
321,45.55270767211914,1731.4166666666667,0.24194025993347168,4247.25,0,225.32152588555857,45431.442307692305,1214.135498046875,0.44716363641806456,-9999,-801
322,35.7159423828125,1181,0.14466910064220428,3088,24.10900450589364,0.0625,57865.171875,54308.7421875,1.4164865016937256,-9999,-807
323,12.522293090820313,1076.090909090909,0.1764932700565883,2705.1,0.00205045428505555,58.21798365122616,101622.13924050632,55875.21484375,1.937817316289169,2,4
324,37.3547477722168,1476,0.24397872388362885,4697,0.2822509515480917,427.2142857142857,363382.9166666667,16649.00390625,0.31440939222063335,-9999,6
325,50.00284194946289,1997,0.18604952494303387,4039.3,0.00117005079924132,200.26756756756757,99721.37974683545,3993.9765625,1.4453700709987332,-9999,-801
326,40.57988357543945,1280,0.1648089736700058,4180,11.773526551293545,0,56782.78125,55878.96484375,2.7114334106445313,-9999,-807
327,40.53333282470703,1495.2222222222222,0.3864360536847796,4244,0,141.3306010928962,130375.67295597483,589.0455322265625,1.014893578701332,1,5
328,45.55270767211914,2026,0.2227735678354899,3897.555555555556,0,219.7669376693767,61023.66134185303,1142.246826171875,0.3654711136649941,-9999,-801
329,35.692527770996094,1370.0833333333333,0.33405478795369464,4619.416666666667,0,113.58870967741936,196554.36655948553,3954.669189453125,0.22163487506169144,1,5
330,62.77460479736328,1820,0.168956458568573,4313,0.884872805687689,0.35714285714285715,6958.532366071428,3184.245361328125,0.895881107875279,2,4
331,58.0782585144043,2096,0.1687404364347458,4151,0.5447131189806708,23.428571428571427,42995.50961538462,40222.91015625,0.33973721095493864,2,4
332,23.79051399230957,1057,0.3046783208847046,3521,0.09508283138275146,7.866666666666666,131668.17708333334,132.4520263671875,5.946737670898438,2,1
333,13.736089706420898,906,0.17608842253684998,2685,1.0140593744093371,0.07142857142857142,137540.13461538462,57558.17578125,0.1622060707637242,2,5
334,47.402366638183594,1701.909090909091,0.07751140594482422,3721.3,0.08003695622923895,13.065573770491802,152043.38461538462,204243.9375,1.089877852976648,2,5
335,36.7579460144043,1498,0.15240076184272766,3069,4.20696271052126,0,115998.25,41271.8125,0.5019681294759114,1,-807
