event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
CAO23392,2025-01-21,2025,1,"Strategic developments","Strategic developments","Looting/property destruction","Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad",,"Rebel group","Civilians (Cameroon)",,Civilians,"Rebel group-Civilians",,120,"Middle Africa",Cameroon,Extreme-Nord,Mayo-Tsanaga,Koza,Guedjele,10.9289,13.8814,1,ARDHU,National,"Looting: On 21 January 2025, an armed group, described as 'Boko Haram' (coded as Boko Haram (JAS) based on the militant activity in Mayo-Tsanaga) looted food and clothing at Guedjele (Koza, Mayo-Tsanaga, Extreme-Nord).",0,,1776726726
CAO16538,2025-01-22,2025,1,"Strategic developments","Strategic developments","Looting/property destruction","Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad",,"Rebel group","Civilians (Cameroon)","Fulani Ethnic Group (Cameroon); Pastoralists (Cameroon)",Civilians,"Rebel group-Civilians",,120,"Middle Africa",Cameroon,Extreme-Nord,Logone-et-Chari,Hile-Alifa,Bargaram,12.6490,14.3111,2,"Humanity Purpose","New media","Looting: On 22 January 2025, ISWAP militants looted ruminants from Fulani pastoralists at Raddaradda on the outskirts of Bargaram (Hile-Alifa, Logone-et-Chari, Extreme-Nord).",0,,1762291677
CAO16537,2025-01-22,2025,1,"Strategic developments","Strategic developments","Looting/property destruction","Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad",,"Rebel group","Civilians (Cameroon)",,Civilians,"Rebel group-Civilians",,120,"Middle Africa",Cameroon,Extreme-Nord,Mayo-Tsanaga,Mayo-Moskota,Djibrili,11.0901,13.8565,1,"Humanity Purpose","New media","Looting: On 22 January 2025, Boko Haram militants looted household items and burned down about 50 houses in Djibrili (Mayo-Moskota, Mayo-Tsanaga, Extreme-Nord).",0,,1776726696
CAO16635,2025-01-22,2025,1,"Strategic developments","Strategic developments","Looting/property destruction","Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad",,"Rebel group","Civilians (Cameroon)",,Civilians,"Rebel group-Civilians",,120,"Middle Africa",Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Amchide,11.2426,14.1372,1,"Humanity Purpose","New media","Looting: On 22 January 2025, 7 armed Boko Haram looted rickshaws, water bottles, machetes, and axes from women and children in Amchide (Kolofata, Mayo-Sava, Extreme-Nord).",0,,1776726696
CAO20911,2025-01-22,2025,1,"Political violence","Violence against civilians","Abduction/forced disappearance","Ambazonian Separatists (Cameroon)",,"Rebel group","Civilians (Cameroon)",,Civilians,"Rebel group-Civilians","Civilian targeting",120,"Middle Africa",Cameroon,Nord-Ouest,Ngo-Ketunjia,Babessi,"Baba I",6.0333,10.4666,1,"Local Network",Other,"On 22 January 2025, Ambazonian Separatists abducted four men and one woman from a public transport vehicle at an illegal checkpoint on the main road in Baba I (Ngo-Ketunjia, Nord-Ouest). Unclear if the driver was also abducted. The Separatists accused the driver of failing to pay the Separatist-imposed Liberation Tax of 30,000 Franc CFA.",0,,1765923135
CAO20912,2025-01-22,2025,1,"Political violence","Violence against civilians","Abduction/forced disappearance","Ambazonian Separatists (Cameroon)","ADF: The Ambazonia Defense Forces","Rebel group","Civilians (Cameroon)","Teachers (Cameroon)",Civilians,"Rebel group-Civilians","Civilian targeting",120,"Middle Africa",Cameroon,Nord-Ouest,Momo,Batibo,Batibo,5.8356,9.8887,2,"Local Network",Other,"On 22 January 2025, Ambazonian Separatists from the ADF faction abducted the principal of a secondary school in Batibo commune (Momo, Nord-Ouest), accusing him of failing to support their operations. The Separatists demanded a ransom of one million CFA francs for his release.",0,,1765923135
CAO20913,2025-01-22,2025,1,"Strategic developments","Strategic developments",Other,"Ngyenmbo Communal Militia (Cameroon)","Farmers (Cameroon)","Identity militia","Civilians (Cameroon)",,Civilians,"Identity militia-Civilians",,120,"Middle Africa",Cameroon,Nord-Ouest,Momo,Mbengwi,Ngyenmbo,5.9579,10.0436,1,"Local Network",Other,"Other: On 22 January 2025, a communal militia of local farmers erected a fence along a secondary road in Ngyenmbo (Momo, Nord-Ouest), blocking all vehicular movement. The farmers accused public transport drivers using the route of regularly damaging their crops.",0,,1765923135
CAO20914,2025-01-22,2025,1,"Strategic developments","Strategic developments",Other,"Military Forces of Cameroon (1982-)",,"State forces",,,,"State forces only",,120,"Middle Africa",Cameroon,Nord-Ouest,Bui,Kumbo,Tobin,6.2063,10.6699,1,"Local Network",Other,"Other: On 22 January 2025, military forces fired sporadic shots from their base in Tobin (Bui, Nord-Ouest) after observing movements from Ambazonian Separatists in the area.",0,,1765923135
CAO20915,2025-01-22,2025,1,"Political violence",Riots,"Mob violence","Rioters (Cameroon)","Vigilante Group (Cameroon)",Rioters,"Civilians (Cameroon)","Fulani Ethnic Group (Cameroon); Pastoralists (Cameroon)",Civilians,Rioters-Civilians,"Civilian targeting",120,"Middle Africa",Cameroon,Nord-Ouest,Momo,Mbengwi,Gundom,5.9969,9.9652,1,"Local Network",Other,"On 22 January 2025, rioters armed with melee weapons beat and injured a Fulani pastoralist in Gundom (Momo, Nord-Ouest) after accusing him of allowing his cattle to destroy their crops. Security forces arrived and arrested the pastoralist.",0,"crowd size=no report",1765923135
CAO20916,2025-01-22,2025,1,"Strategic developments","Strategic developments","Looting/property destruction","Ambazonian Separatists (Cameroon)",,"Rebel group","Civilians (Cameroon)","Labor Group (Cameroon); Women (Cameroon)",Civilians,"Rebel group-Civilians",,120,"Middle Africa",Cameroon,Nord-Ouest,Boyo,Njinikom,Njinikom,6.2333,10.2833,2,"Local Network",Other,"Looting: On 22 January 2025, Ambazonian Separatists extorted money from some ten women beer vendors at a private residence during a funeral ceremony in Njinikejem in the Njinikom commune (Boyo, Nord-Ouest), accusing them of selling Separatists-banned Brasseries brewery products without paying the Separatists-imposed 'Liberation Tax.'",0,,1765923135
