x,y,densite,bandwidth,sigma_m,sous_population
-112256.5789752465,672162.6770918437,2.3942262920317653e-4,petit,35770.82265737722,tous
-112256.5789752465,682689.364439899,2.1026736723399252e-4,petit,35770.82265737722,tous
-112256.5789752465,693216.0517879543,1.7966286279648346e-4,petit,35770.82265737722,tous
-112256.5789752465,703742.7391360096,1.4845614934023025e-4,petit,35770.82265737722,tous
-112256.5789752465,714269.4264840649,1.1827650629568397e-4,petit,35770.82265737722,tous
-105130.08683024517,451102.242782683,0.00843532103349046,petit,35770.82265737722,tous
-105130.08683024517,461628.93013073824,0.007601926089669317,petit,35770.82265737722,tous
-105130.08683024517,472155.6174787935,0.006578593129733336,petit,35770.82265737722,tous
-105130.08683024517,482682.3048268488,0.0055238027766690186,petit,35770.82265737722,tous
-105130.08683024517,493208.9921749041,0.0045609068841820696,petit,35770.82265737722,tous
-105130.08683024517,503735.67952295934,0.0037588335287010288,petit,35770.82265737722,tous
-105130.08683024517,514262.3668710146,0.0031305818044129576,petit,35770.82265737722,tous
-105130.08683024517,524789.0542190699,0.0026483586400465136,petit,35770.82265737722,tous
-105130.08683024517,535315.7415671252,0.0022674821220389444,petit,35770.82265737722,tous
-105130.08683024517,545842.4289151805,0.0019478771272672185,petit,35770.82265737722,tous
-105130.08683024517,556369.1162632357,0.0016652312658961249,petit,35770.82265737722,tous
-105130.08683024517,566895.803611291,0.0014109999503596432,petit,35770.82265737722,tous
-105130.08683024517,577422.4909593463,0.00118600440277685,petit,35770.82265737722,tous
-105130.08683024517,587949.1783074015,9.934140931309346e-4,petit,35770.82265737722,tous
-105130.08683024517,598475.8656554568,8.34517952810543e-4,petit,35770.82265737722,tous
-105130.08683024517,609002.5530035121,7.076459056505818e-4,petit,35770.82265737722,tous
-105130.08683024517,619529.2403515674,6.08857280122168e-4,petit,35770.82265737722,tous
-105130.08683024517,630055.9276996227,5.329185012863934e-4,petit,35770.82265737722,tous
-105130.08683024517,640582.6150476779,4.739298524700411e-4,petit,35770.82265737722,tous
-105130.08683024517,651109.3023957332,4.257686833380967e-4,petit,35770.82265737722,tous
-105130.08683024517,661635.9897437885,3.827243422649467e-4,petit,35770.82265737722,tous
-105130.08683024517,672162.6770918437,3.403708482530241e-4,petit,35770.82265737722,tous
-105130.08683024517,682689.364439899,2.96324298981753e-4,petit,35770.82265737722,tous
-105130.08683024517,693216.0517879543,2.5046018177058473e-4,petit,35770.82265737722,tous
-105130.08683024517,703742.7391360096,2.0444693085630545e-4,petit,35770.82265737722,tous
-105130.08683024517,714269.4264840649,1.6082025775286877e-4,petit,35770.82265737722,tous
-98003.59468524384,419522.18073851714,0.008135613104699952,petit,35770.82265737722,tous
-98003.59468524384,451102.242782683,0.008518222989410728,petit,35770.82265737722,tous
-98003.59468524384,461628.93013073824,0.007745797205200248,petit,35770.82265737722,tous
-98003.59468524384,472155.6174787935,0.006744870711534381,petit,35770.82265737722,tous
-98003.59468524384,482682.3048268488,0.005688127726410923,petit,35770.82265737722,tous
-98003.59468524384,493208.9921749041,0.00471558248642568,petit,35770.82265737722,tous
-98003.59468524384,503735.67952295934,0.0039092914015602396,petit,35770.82265737722,tous
-98003.59468524384,514262.3668710146,0.0032887892365271658,petit,35770.82265737722,tous
-98003.59468524384,524789.0542190699,0.0028260900403252426,petit,35770.82265737722,tous
-98003.59468524384,535315.7415671252,0.0024716057255115167,petit,35770.82265737722,tous
-98003.59468524384,545842.4289151805,0.0021786003120463663,petit,35770.82265737722,tous
-98003.59468524384,556369.1162632357,0.001917004944510424,petit,35770.82265737722,tous
-98003.59468524384,566895.803611291,0.001674953106189956,petit,35770.82265737722,tous
-98003.59468524384,577422.4909593463,0.0014526077086827102,petit,35770.82265737722,tous
-98003.59468524384,587949.1783074015,0.001254456161029072,petit,35770.82265737722,tous
-98003.59468524384,598475.8656554568,0.0010840769633708943,petit,35770.82265737722,tous
-98003.59468524384,609002.5530035121,9.422009163337877e-4,petit,35770.82265737722,tous
-98003.59468524384,619529.2403515674,8.268477946359288e-4,petit,35770.82265737722,tous
-98003.59468524384,630055.9276996227,7.340141050769882e-4,petit,35770.82265737722,tous
-98003.59468524384,640582.6150476779,6.582100598854485e-4,petit,35770.82265737722,tous
-98003.59468524384,651109.3023957332,5.930327985829165e-4,petit,35770.82265737722,tous
