DHSCLUST,region_eds,milieu,lat,lon,n_menages,poids_total,tx_eau_amelioree,tx_electricite,taille_moy_menage,Travel_Times_2015,Nightlights_Composite,Aridity_2015,Malaria_Prevalence_2015,All_Population_Count_2015
87,EXTREME-NORD,R,10.773269,14.137739,28,26.33442,57.14285714285714,0,5.5,49.116216216216216,0.00504891691449161,11.393665313720703,0.202434241771698,40481.3828125
88,EXTREME-NORD,R,10.652,14.456058,28,56.655480000000004,82.14285714285715,25,4.678571428571428,31.27077747989276,0.01676303937920966,11.393665313720703,0.20963178362165177,74317.03125
89,YAOUNDE,U,3.875797,11.527326,28,34.973904000000005,100,100,3.8214285714285716,0,27.521780240333687,35.7159423828125,0.14466910064220428,225965.953125
90,CENTRE,R,4.954135,12.980352,28,24.98104,28.571428571428573,0,5.392857142857142,126.74184782608695,0,34.24109649658203,0.3467061519622803,3205.540283203125
91,LITTORAL,U,3.809854,10.108286,27,9.367542,100,100,3.8518518518518516,24,1.517749260211813,50.90056610107422,0.2584601640701294,21902.1640625
92,OUEST,U,5.160928,10.0137,28,17.768072,100,100,5.285714285714286,14.533333333333331,0.19133795102437337,47.402366638183594,0.07910602539777756,21505.939453125
93,SUD,R,3.438211,12.364209,28,12.988555999999999,64.28571428571429,0,6.392857142857142,159.77777777777777,0.00305892458453087,36.262996673583984,0.4033612012863159,5069.95703125
94,EST,U,4.90973,13.288619,28,20.004516000000002,96.42857142857143,82.14285714285714,7.75,39.53333333333333,0.988845443725586,35.45429229736328,0.347506582736969,9843.720703125
95,YAOUNDE,U,3.858902,11.554256,28,27.699504,96.42857142857143,92.85714285714285,4.892857142857143,0,14.53406182650862,35.7159423828125,0.1604199260473251,200854.53125
96,EXTREME-NORD,U,12.576924,14.461078,28,44.648156,100,0,5.892857142857143,46.8125,0,7.259002685546875,0.16193720698356628,193.44781494140625
97,SUD,R,2.989591,11.39137,28,11.22898,64.28571428571428,71.42857142857142,7.035714285714286,56.474393530997304,0.00673359137814061,41.514286041259766,0.32275492350260415,3750.845947265625
98,DOUALA,U,4.070072,9.677475,27,23.86368,100,92.5925925925926,4.7407407407407405,0,10.89967744246773,58.0782585144043,NA,79364.9453125
99,DOUALA,U,4.021958,9.756071,28,64.52034400000001,100,100,4.642857142857142,0,9.841607666015625,58.0782585144043,0.08609534800052643,121471.109375
100,OUEST,R,5.2395,10.258331,28,18.112807999999998,75,71.42857142857143,4.607142857142857,38.46774193548387,0.01870972659136798,47.402366638183594,0.0803281239100865,49497.8046875
101,CENTRE,R,3.891966,10.834808,27,23.700762,92.59259259259258,88.88888888888887,3.185185185185185,134.65934065934067,0.01204676611948821,44.48732376098633,0.3230224549770355,14153.427734375
102,OUEST,R,5.453997,10.799964,28,45.294171999999996,7.142857142857142,0,5.7142857142857135,50.40909090909091,0,40.63114929199219,0.17933079174586705,18838.623046875
103,EXTREME-NORD,R,10.838436,15.06912,1,0.181747,0,0,2,180.8484042553191,0.00314233612663136,12.365591049194336,0.15179446538289387,18747.2265625
105,NORD,R,7.843986,14.87108,28,47.86782,53.57142857142857,3.5714285714285716,6.285714285714286,71.36585365853658,0,29.866107940673828,0.3500235080718994,4885.6015625
106,CENTRE,R,4.046224,10.72858,28,12.338424,89.28571428571429,67.85714285714286,4.964285714285714,158.71311475409837,0,45.55270767211914,0.27190762758255005,8810.8095703125
107,YAOUNDE,U,3.866784,11.573443,28,11.552464,100,100,4.392857142857143,0,11.048372465988685,35.7159423828125,0.1604199260473251,71389.625
108,OUEST,R,5.623979,10.863373,28,31.788204000000004,46.42857142857142,0,6.535714285714286,23.217391304347824,0.00368447484685799,40.27055740356445,0.17898426737104142,34410.9375
109,LITTORAL,U,4.950831,9.950313,28,10.653888,99.99999999999999,99.99999999999999,5.25,2,1.2760321633857594,55.764705657958984,0.04471787437796593,132684.15625
110,DOUALA,U,4.027739,9.700957,27,27.084969,100,96.29629629629628,3.4814814814814814,0,20.59566446940104,58.0782585144043,0.10201852023601532,147775.25
