dhsclust,region_eds,milieu,lon,lat,n_menages,poids_total,tx_eau_amelioree,tx_electricite,taille_moy
223,CENTRE,U,12.253642,3.780221,28,21.594832,75.00000000000001,89.28571428571429,6.714285714285714
224,NORD-OUEST,R,10.81674,6.36364,28,32.279688,89.28571428571428,0,4.321428571428572
225,DOUALA,U,9.75748,4.048607,27,76.56908399999999,100,100,4.074074074074074
226,NORD-OUEST,U,10.146072,5.966482,28,34.564152,96.42857142857142,92.85714285714286,3.4285714285714284
227,OUEST,U,10.923544,5.729299,28,42.191604,64.28571428571429,96.42857142857142,8.428571428571429
228,EST,R,15.37573,3.482346,28,24.787112,28.571428571428573,0,8.535714285714285
229,CENTRE,U,11.59446,3.974691,28,15.386588000000001,75,100,2.0357142857142856
230,NORD,R,14.088293,9.528184,27,30.976613999999998,7.407407407407407,3.7037037037037037,6.333333333333333
231,EST,U,14.942563,4.039842,28,16.71124,53.57142857142856,0,6.428571428571429
232,DOUALA,U,9.755922,4.049518,27,28.939463999999997,100,100,4.518518518518518
233,YAOUNDE,U,11.501972,3.882801,26,19.33516,100,92.3076923076923,4.230769230769231
234,OUEST,U,10.067166,5.443401,28,31.70328,92.85714285714286,100,2.9642857142857144
235,CENTRE,R,11.270601,4.182978,27,21.908826,37.03703703703704,70.37037037037037,5.925925925925926
236,ADAMAOUA,U,13.592723,7.321591,26,6.41511,96.15384615384615,92.3076923076923,4.269230769230769
237,CENTRE,U,11.49984,3.495432,27,41.407497,96.29629629629629,100.00000000000001,3.518518518518519
238,LITTORAL,R,10.625104,3.868816,28,9.589776,67.85714285714286,60.71428571428571,3.107142857142857
239,YAOUNDE,U,11.529296,3.889382,28,32.883004,100,100,5.071428571428572
240,CENTRE,R,11.458611,3.231527,27,29.108727,62.96296296296297,3.7037037037037037,7.407407407407407
241,EST,R,13.797686,4.797348,28,29.060752,53.57142857142857,0,5.7857142857142865
242,NORD-OUEST,U,10.14224,5.968257,27,22.351788,99.99999999999999,92.5925925925926,3.4814814814814814
243,OUEST,U,10.400136,5.401531,28,22.79298,49.99999999999999,85.71428571428571,5.107142857142857
245,OUEST,R,10.31407,5.621171,28,27.280260000000002,92.85714285714285,85.71428571428571,5.714285714285714
246,DOUALA,U,9.74161,4.011315,28,35.175728,100,96.42857142857143,4.142857142857143
247,LITTORAL,U,10.146854,3.804359,28,15.33728,92.85714285714288,96.42857142857144,4.107142857142858
248,CENTRE,R,11.426389,4.544659,28,18.719204,42.857142857142854,78.57142857142857,8.428571428571429
249,CENTRE,R,11.305489,4.648186,28,22.986964,57.14285714285714,3.571428571428571,10.75
250,DOUALA,U,9.734137,4.058066,26,29.817242,100,100,4.230769230769231
252,EXTREME-NORD,R,14.161125,10.886332,28,39.721444,82.14285714285714,0,6
253,ADAMAOUA,R,12.514955,7.327178,28,23.579136,57.14285714285714,0,4.25
254,NORD,U,13.512054,9.392016,28,23.713984,46.42857142857143,32.142857142857146,4.892857142857142
255,SUD,U,11.973429,2.930356,28,12.742632,92.85714285714286,100,5.928571428571428
256,NORD-OUEST,U,10.661245,6.228924,26,32.623447999999996,100,100,4.884615384615385
257,SUD,R,10.872576,2.57845,28,8.821819999999999,67.85714285714286,0,8.392857142857144
258,LITTORAL,U,10.130628,3.778154,28,15.96644,100,96.42857142857143,4.821428571428571
260,EST,U,14.370071,4.432267,28,16.39148,89.28571428571426,78.57142857142857,6.107142857142857
261,LITTORAL,R,9.707137,4.667212,28,14.869932,67.85714285714285,92.85714285714286,5.071428571428571
262,SUD,U,9.82266,2.375466,27,5.845527,100,100,3.740740740740741
263,SUD,U,11.989681,2.942071,28,29.291751999999995,100,100,5.714285714285714
264,SUD,R,11.35732,2.92118,28,10.21454,92.85714285714286,100,8.678571428571429
265,LITTORAL,U,9.832932,4.862767,28,18.199635999999998,92.85714285714286,100,4.464285714285714
266,NORD-OUEST,R,10.614926,6.910571,28,37.702672,17.857142857142858,0,4.964285714285714
