id,admin2Pcod,ntl_mean,population,ndvi_mean,precip_2018,no2,lc_13_urbain,lc_12_cultures,lc_8_savane_boisee,lc_11_zones_humides
10728,BJ0101,0.2239355511889945,404.6417236328125,4305.240631083712,981.0,5.0572854056928216e-05,0.0,0.0,0.0,1.0
10730,BJ0101,0.3077622553967695,402.1761779785156,4399.954630321136,988.2,5.038992471918495e-05,0.0,0.0,0.0,1.0
10732,BJ0101,0.2277222393296388,550.93603515625,4366.065249874129,993.0,5.042126202652052e-05,0.0,0.0,0.0,1.0
10973,BJ0101,0.2201955546724357,796.6154174804686,3779.056468122441,930.856,5.2533218555313285e-05,0.0,0.0,0.0,1.0
10975,BJ0101,0.221724517216056,865.5352783203125,3910.52671712332,933.7692307692308,5.2047495748876986e-05,0.0,0.0,0.0,1.0
10977,BJ0101,0.2100491053062399,780.4859619140625,4102.027719622833,943.1923076923076,5.166296967232886e-05,0.0,0.0,0.0,1.0
10978,BJ0101,0.2189951739503659,886.5552368164062,4060.0976384110095,946.2761904761904,5.118128477657402e-05,0.0,0.0,0.0,1.0
10979,BJ0101,0.2204817772159851,842.66064453125,4235.087736109532,950.904,5.084143705405212e-05,0.0,0.0,0.0,1.0
10980,BJ0101,0.2174973668604756,557.2448120117188,4255.309167924436,961.6190476190476,5.087312106797929e-05,0.0,0.0,0.0,1.0
10981,BJ0101,0.2536524209820309,638.4168090820312,4349.319481636562,963.6190476190476,5.067594675600498e-05,0.0,0.0,0.0,1.0
10982,BJ0101,0.2296587222036599,795.5917358398436,4370.298594543713,966.6190476190476,5.079033991712316e-05,0.0,0.0,0.0,1.0
10983,BJ0101,0.2310545068171994,437.2279968261719,4364.1160908530055,971.7238095238096,5.077018806255246e-05,0.0,0.0,0.0,1.0
11223,BJ0101,0.218772974667299,655.8389892578125,3781.0396696496728,932.6153846153846,5.242573281828579e-05,0.0,0.0,0.0,1.0
11225,BJ0101,0.208009927927055,787.3302001953125,4087.058179368121,942.6153846153848,5.196330122149921e-05,0.0,0.0,0.0,1.0
11226,BJ0101,0.2092518768076622,442.4653930664063,4158.452342069947,945.8190476190476,5.142342900604774e-05,0.0,0.0,0.0,1.0
11227,BJ0101,0.2222452978307116,980.955322265625,4262.2341493691165,950.616,5.124144734065385e-05,0.0,0.0,0.0,1.0
11228,BJ0101,0.2173451045561065,530.091064453125,4385.92259441388,962.0,5.106738432104541e-05,0.0,0.0,0.0,1.0
11229,BJ0101,0.2161334447453404,515.8236083984375,4491.79603031631,963.9902912621358,5.0974049708455976e-05,0.0,0.0,0.0,1.0
11230,BJ0101,0.2179654220830215,556.5938110351562,4362.949776513612,967.0,5.083881673349816e-05,0.0,0.0,0.0,1.0
11231,BJ0101,0.2271702755769167,538.6089477539064,4365.053016527583,973.3714285714286,5.057843257152224e-05,0.0,0.0,0.0,1.0
11468,BJ0101,0.2261501988331761,273.7707214355469,4468.586907815696,932.0,5.228972158514845e-05,0.0124653594946315,0.0063239969078253,0.0029185283762044,0.0
11470,BJ0101,0.2247837429600461,800.1405639648436,4022.008825438028,942.0,5.203926716366898e-05,0.0,0.0,0.0,1.0
11472,BJ0101,0.2202474880866047,495.46490478515625,4152.10043380776,945.2,5.151922999934894e-05,0.0,0.0,0.0,1.0
11473,BJ0101,0.2195186161134097,856.44287109375,4231.699624648108,950.0,5.157993120662016e-05,0.0,0.0,0.0,1.0
11474,BJ0101,0.2435742902862725,513.2777709960938,4266.928309539261,962.0,5.134056302027252e-05,0.0,0.0,0.0,1.0
11475,BJ0101,0.2221285906727581,521.6834716796875,4499.809231018819,964.0,5.13012365141598e-05,0.0,0.0,0.0,1.0
11476,BJ0101,0.2650912427746005,525.2144775390625,4388.254145620504,967.0,5.1040748696506606e-05,0.0,0.0,0.0,1.0
11477,BJ0101,0.2278037513826743,660.5722045898438,4239.790139403392,975.8,5.088497149584335e-05,0.0,0.0,0.0,1.0
11689,BJ0101,0.2215231297267534,583.927734375,4367.127951701641,942.0,5.24723361252252e-05,0.0,0.0,0.0,1.0
11691,BJ0101,0.2158059631581203,630.939697265625,4060.233076910592,945.8461538461538,5.215585999288756e-05,0.0,0.0,0.0,1.0
11693,BJ0101,0.2184123276228523,721.108154296875,4162.6176461041605,951.75,5.1725412764862685e-05,0.0,0.0,0.0,1.0
11694,BJ0101,0.2500724224040453,368.51861572265625,4319.86052874318,961.0887096774196,5.139088377715445e-05,0.0,0.0,0.0,1.0
11695,BJ0101,0.2205995622836675,474.3435363769531,4331.749233166172,966.2307692307694,5.131193751712654e-05,0.0,0.0,0.0,1.0
11696,BJ0101,0.2184469323657751,505.958251953125,4267.989398318018,971.3809523809524,5.124833915641813e-05,0.0,0.0,0.0,1.0
11697,BJ0101,0.2158269469903348,935.5753784179688,4089.1330100084488,976.73786407767,5.1191661757097245e-05,0.0,0.0,0.0,1.0
11885,BJ0101,0.2159923754522183,639.3673706054688,4059.460109750949,947.1153846153844,5.2655050488846587e-05,0.0,0.0,0.0,1.0
11887,BJ0101,0.2407627069928388,354.8838195800781,4214.052643114589,954.1142857142858,5.220149793584741e-05,0.0,0.0,0.0,1.0
11888,BJ0101,0.2179945159700227,718.0408935546875,4028.6256976689647,962.464,5.19213959909098e-05,0.0,0.0,0.0,1.0
11889,BJ0101,0.2213089220692622,511.17864990234375,4144.842999675536,967.5576923076924,5.150277616489307e-05,0.0,0.0,0.0,1.0
11890,BJ0101,0.225620266362216,714.9891357421875,4185.466912361593,972.7115384615385,5.1270710888810846e-05,0.0,0.0,0.0,1.0
11891,BJ0101,0.2159178213816858,552.915771484375,4080.163599746634,977.5576923076924,5.12529724127178e-05,0.0,0.0,0.0,1.0
11893,BJ0101,0.2301590692512209,744.3082885742188,4085.3540152498376,983.7142857142858,5.106947437350664e-05,0.0,0.0,0.0,1.0
12049,BJ0101,0.2597785450466221,407.0854797363281,4413.103384710333,949.0,5.2469887448086285e-05,0.0,0.0,0.0,1.0
12051,BJ0101,0.2162196800690768,62.41741943359375,4806.200589563268,958.0,5.240195259105052e-05,0.0,0.0,0.0,1.0
