admin2Pcod,ntl_mean_adm2,population_adm2,ndvi_mean_adm2,precip_2018_adm2,no2_adm2,lc_13_urbain_adm2,lc_12_cultures_adm2,lc_8_savane_boisee_adm2,lc_11_zones_humides_adm2
BJ0301,1.5666237909935672,1093217.1861419678,4513.912046226448,1271.700052211033,4.951871999020561e-05,0.4547231800430272,0.1813432551596816,0.0580915687478529,0.225362936568642
BJ0302,0.3621790426404452,184501.1951446533,5529.427831871049,1189.73682044124,4.887562827715369e-05,0.9366076703634308,0.0055409260478384,0.0235290311327177,0.0303302048693753
BJ0303,0.3516376969077386,119190.27407836914,4476.149641521527,1173.6383440524094,4.808146332924665e-05,0.6453787940545845,0.0125370182935972,0.0703315553072476,0.1033857275529643
BJ0304,0.6278553053715037,354801.9956970215,5046.078409222922,1195.938381059619,4.811573750837261e-05,0.449840262037038,0.0436935945791597,0.117199626590505,0.1518512200542993
BJ0305,0.4484446404311038,38335.63391494751,4727.935370273609,1257.8720675281763,5.006871152542441e-05,0.1966214403201449,0.0413529844694256,0.0204872546335961,0.4627991348690065
BJ0306,0.2754514417320884,83721.59251075983,5867.736248218355,1167.986842605569,4.8951477453822754e-05,0.6600874848582652,0.01045282374417,0.2787228581778911,0.0388117809348282
BJ0307,0.3290326136889849,84062.6026763916,5460.407929666108,1228.9800011900018,4.815105453502159e-05,0.9594352802617816,0.0022045855379188,0.0010194961175353,0.03373748742079
BJ0308,0.3038052477381537,176717.80827113986,5528.181276907398,1223.5744753941924,4.866752114083303e-05,0.8262958691755669,0.0009212018140589,0.1073448955318265,0.0650788380762487
BJ0401,0.2369698390901132,169111.15040111542,4581.212044695607,1155.5507469132674,5.035793632250514e-05,0.000113649278327,0.0005688190430378,0.0463373971159934,0.9529801345626412
BJ0402,0.2323129174986221,236325.36731370352,4695.613761702418,1160.8399227431755,5.09807354878168e-05,0.0161156619764619,0.001011975037949,0.2345932715787581,0.7477916312086265
BJ0403,0.2513508214206904,179280.06182324886,5034.478894084318,1198.945431920562,4.94224797064834e-05,0.0057817205553916,0.0026186901186901,0.6717797479248506,0.3176001064685662
BJ0404,0.2269770092080285,211573.084037384,4646.467977966853,1192.393982235402,4.9927030102566766e-05,0.0001889644746787,0.0014667479355986,0.0896056637867329,0.9087386238029896
BJ0405,0.8339687604667722,350924.0540924072,4672.969058874872,1224.8053421213726,4.880336460629072e-05,0.0,0.0570997132736429,0.0765861769050243,0.8663141098213327
BJ0406,0.2227801004155233,121609.57603263856,4693.147717111704,1220.3555939084429,4.853457259445297e-05,0.0002747252747252,0.0013109215090922,0.0088618864391405,0.989552466777042
BJ0407,0.2418691318013904,116408.29314255714,4765.259918411123,1163.677564967809,5.042205818525745e-05,0.0020600352821305,0.0005687705545794,0.2994522340272385,0.6979189601360515
BJ0408,0.2473653095253819,345867.5074435696,5144.261252656177,1211.2531018483437,4.807234351357753e-05,0.0558019613313295,0.0031465445161742,0.7263613068168945,0.2114802482269679
BJ0501,0.2395670358754846,125384.68700408936,5380.612476411666,1216.695412846898,4.824868966905545e-05,0.0,0.0016364707799076,0.9907127178915448,0.0072355758659798
BJ0502,0.2473263750562417,135473.9076371193,5049.877275206261,1260.034814541768,4.954786826654503e-05,0.000969709560282,0.003626192697003,0.2311926801501189,0.7016030167297074
BJ0503,0.2683279185821196,159104.95681667328,4943.009977616734,1182.5892904433106,4.866265251783498e-05,0.0,0.0091966791214911,0.6215924651672816,0.3652477192300833
BJ0504,0.2438739667944066,171893.92902463675,4964.33764947348,1168.6724671005586,4.806680018212104e-05,0.0008228313444224,0.0015120791071151,0.9539286958716974,0.0397511112524121
BJ0505,0.2395399265266713,175787.4046022892,5378.293897247858,1177.75005054106,4.8840908792368494e-05,0.0250922063629981,0.0045750645426912,0.7930613846832696,0.1440089757663693
BJ0506,0.2671740869259952,97734.11406803133,4831.095724240071,1259.3270867496144,4.887699832068604e-05,0.0,0.0108102307731151,0.8864645778560624,0.0740175906084934
BJ0601,0.2628825977388477,231090.74705696103,5225.8117068291485,1157.246203839335,4.902995517458839e-05,0.6072926021027473,0.0094257279631429,0.049886264674924,0.3333954052591858
BJ0602,0.3344261976537049,230239.84980010983,5093.892026648512,1116.93587452082,4.892610481969682e-05,0.3311162199718384,0.0648951247165533,0.0618512709137709,0.5421373843978373
BJ0603,0.3311712018051953,190518.5722805336,5557.551475049798,1085.5796568583971,4.947336905234971e-05,0.7161276362493338,0.0250113378684807,0.0100056528196025,0.2430796700688347
BJ0604,0.2927204023627255,178236.61920166016,4909.301247977358,1144.447686222429,4.8701222828469496e-05,0.1722093992146365,0.0112339230733444,0.0,0.8161815839385755
BJ0605,0.259712139047781,197804.41452026367,5597.196601369375,1101.3411599136898,4.928270476509952e-05,0.7897196779379169,0.0009092943875552,0.0165856411703587,0.1921342251387219
BJ0606,0.32013834419982,151843.97204589844,5348.762139480352,1116.7400488814956,4.861794522038805e-05,0.4994557823129251,0.0410204081632653,0.0,0.4595238095238095
BJ0701,0.2438121248255809,185709.6880238652,5484.150358616194,1255.1242032418097,4.833048030447129e-05,0.0,0.004599884355686,0.9791794385438772,0.011227808235032
