x,y,pop,frac_inondee
15.324583,10.249584,6.7908,0
15.325416,10.249584,6.318,0
15.326249,10.249584,1.5919,0
15.334583,10.249584,0.3465,0
15.335416,10.249584,2.883,0
15.336249,10.249584,4.402,0
15.337083,10.249584,3.0335,0
15.337916,10.249584,2.2236,0
15.338749,10.249584,2.0124,0
15.339583,10.249584,8.1368,0
15.340416,10.249584,11.6038,0
15.341249,10.249584,9.1251,0
15.342083,10.249584,8.1482,0
15.342916,10.249584,8.4841,0
15.343749,10.249584,9.8641,0
15.344583,10.249584,7.5491,0
15.345416,10.249584,2.5851,0.3853
15.346249,10.249584,0.9365,0.5228
15.347083,10.249584,0.1553,0.9974
15.347916,10.249584,0.7943,0.9997
15.348749,10.249584,0.7056,1
15.322083,10.24875,6.9145,0
15.322916,10.24875,7.711,0
15.323749,10.24875,8.8223,0
15.324583,10.24875,8.2249,0
15.325416,10.24875,7.5451,0
15.326249,10.24875,2.1089,0
15.329583,10.24875,4.6551,0
15.333749,10.24875,1.8412,0
15.334583,10.24875,0.7532,0
15.335416,10.24875,1.0306,0
15.336249,10.24875,1.4852,0
15.337083,10.24875,1.0319,0
15.337916,10.24875,1.1383,0
15.338749,10.24875,4.0332,0
15.339583,10.24875,8.6953,0
15.340416,10.24875,11.9463,0
15.341249,10.24875,7.9672,0
15.342083,10.24875,5.2774,0
15.342916,10.24875,8.2676,0
15.343749,10.24875,8.6646,0
15.344583,10.24875,8.8153,0
15.345416,10.24875,7.2383,0.0205
15.346249,10.24875,4.4138,0.0071
15.347083,10.24875,3.106,0.2188
15.347916,10.24875,3.9691,0.4107
15.348749,10.24875,2.0525,0.9877
15.349583,10.24875,0.4097,1
15.350416,10.24875,0.1621,1
15.322083,10.247917,7.2043,0
15.322916,10.247917,8.9428,0
15.323749,10.247917,8.985,0
15.324583,10.247917,10.6221,0
15.325416,10.247917,8.8766,0
15.326249,10.247917,5.0251,0
15.327083,10.247917,0.7708,0
15.334583,10.247917,0.265,0
15.335416,10.247917,2.7561,0
15.336249,10.247917,3.8989,0
15.337083,10.247917,1.9778,0
15.337916,10.247917,1.2141,0
15.338749,10.247917,4.2499,0
15.339583,10.247917,6.7345,0
15.340416,10.247917,6.5329,0
15.341249,10.247917,4.3046,0
15.342083,10.247917,1.8991,0
15.342916,10.247917,3.3965,0
15.343749,10.247917,7.2674,0
15.344583,10.247917,8.297,0
15.345416,10.247917,9.6255,0
15.346249,10.247917,8.667,0
15.347083,10.247917,9.3901,0
15.347916,10.247917,6.3124,0.034
15.348749,10.247917,1.2997,0.4265
15.349583,10.247917,0.8961,0.9834
15.350416,10.247917,0.3848,1
15.322083,10.247084,4.2551,0
15.322916,10.247084,7.9146,0
15.323749,10.247084,7.8531,0
15.324583,10.247084,9.0968,0
15.325416,10.247084,9.98,0
15.326249,10.247084,5.0919,0
15.327083,10.247084,0.8517,0
15.334583,10.247084,0.2722,0
15.335416,10.247084,4.0797,0
15.336249,10.247084,5.2975,0
15.337083,10.247084,2.7069,0
15.337916,10.247084,0.5585,0
15.338749,10.247084,1.182,0
15.339583,10.247084,3.1339,0
15.340416,10.247084,3.3997,0
15.341249,10.247084,1.391,0
15.342083,10.247084,1.0427,0
15.342916,10.247084,4.4394,0
15.343749,10.247084,8.1735,0
15.344583,10.247084,9.1147,0
15.345416,10.247084,12.4176,0
15.346249,10.247084,12.3642,0
15.347083,10.247084,16.1413,0
15.347916,10.247084,7.2613,0
15.348749,10.247084,7.2885,0.001
15.349583,10.247084,7.6071,0.4985
15.350416,10.247084,2.2495,0.9211
15.351249,10.247084,0.4136,1
15.322083,10.24625,3.4022,0
15.322916,10.24625,6.6331,0
15.323749,10.24625,4.741,0
15.324583,10.24625,4.0569,0
15.325416,10.24625,3.9171,0
15.326249,10.24625,0.7608,0
15.328749,10.24625,3.5151,0
15.333749,10.24625,4.6307,0
15.334583,10.24625,1.8851,0
15.335416,10.24625,6.3613,0
15.336249,10.24625,7.8671,0
15.337083,10.24625,5.6645,0
15.337916,10.24625,2.6772,0
15.338749,10.24625,2.4382,0
15.339583,10.24625,3.9613,0
15.340416,10.24625,3.0893,0
15.341249,10.24625,0.9599,0
15.342083,10.24625,0.7516,0
15.342916,10.24625,3.5875,0
15.343749,10.24625,7.9752,0
15.344583,10.24625,7.9619,0
15.345416,10.24625,9.6286,0
15.346249,10.24625,17.264,0
15.347083,10.24625,15.9466,0
15.347916,10.24625,11.6422,0
15.348749,10.24625,8.7121,0
15.349583,10.24625,10.007,0.0054
15.350416,10.24625,7.1792,0.4907
15.351249,10.24625,3.2501,0.7225
15.322083,10.245417,0.1718,0
15.322916,10.245417,0.3436,0
15.323749,10.245417,0.3551,0
15.324583,10.245417,0.1659,0
15.325416,10.245417,0.1616,0
15.326249,10.245417,0.0601,0
15.332916,10.245417,0.6695,0
15.333749,10.245417,3.2986,0
15.334583,10.245417,6.9959,0
15.335416,10.245417,7.8186,0
15.336249,10.245417,7.7283,0
